ID,Date,Line Type,Amount,Currency,Payment reference,Description,Processor ID,Payout,Order ID
ad-QRMHJSTF5Z472Q42,2023-07-20 19:09:08,CREDIT,15.3,CAD,QRMHJSTF5Z472Q42,,QRMHJSTF5Z472Q42,2710101971532977,60095
ad-fe-QRMHJSTF5Z472Q42,2023-07-20 19:09:08,FEE,-0.1,CAD,QRMHJSTF5Z472Q42,,fe-QRMHJSTF5Z472Q42,2710101971532977,60095
ad-L49JPTTF5Z472Q42,2023-07-20 19:11:33,CREDIT,17.95,CAD,L49JPTTF5Z472Q42,,L49JPTTF5Z472Q42,2710101971532977,60096
ad-fe-L49JPTTF5Z472Q42,2023-07-20 19:11:33,FEE,-0.1,CAD,L49JPTTF5Z472Q42,,fe-L49JPTTF5Z472Q42,2710101971532977,60096
ad-P65B8LG83BZ6SP42,2023-07-20 19:11:58,CREDIT,9.2,CAD,P65B8LG83BZ6SP42,,P65B8LG83BZ6SP42,2710101971532977,60097
ad-fe-P65B8LG83BZ6SP42,2023-07-20 19:11:58,FEE,-0.27,CAD,P65B8LG83BZ6SP42,,fe-P65B8LG83BZ6SP42,2710101971532977,60097
ad-RN8Q7497BKFJ8X62,2023-07-20 19:13:30,CREDIT,8.05,CAD,RN8Q7497BKFJ8X62,,RN8Q7497BKFJ8X62,2710101971532977,60099
ad-fe-RN8Q7497BKFJ8X62,2023-07-20 19:13:30,FEE,-0.24,CAD,RN8Q7497BKFJ8X62,,fe-RN8Q7497BKFJ8X62,2710101971532977,60099
ad-FZ9P44NLTJZ8BV62,2023-07-20 19:14:06,CREDIT,20.35,CAD,FZ9P44NLTJZ8BV62,,FZ9P44NLTJZ8BV62,2710101971532977,60098
ad-fe-FZ9P44NLTJZ8BV62,2023-07-20 19:14:06,FEE,-0.1,CAD,FZ9P44NLTJZ8BV62,,fe-FZ9P44NLTJZ8BV62,2710101971532977,60098
ad-B2DSCVKMCX5MPK42,2023-07-20 19:17:40,CREDIT,13.8,CAD,B2DSCVKMCX5MPK42,,B2DSCVKMCX5MPK42,2710101971532977,60100
